X_Pred,Y_Pred
-32.971413,-96.04336
-21.292408,-59.3508
8.917203,-67.442215
-52.98838,-79.86928
-22.57917,-53.751614
23.28106,-76.21074
-59.90605,-75.019844
-59.651833,-72.477646
20.061024,-59.230515
-28.281452,-44.75922
-45.284916,-52.390583
-66.64758,-95.519066
-3.9964135,-33.738914
-79.2291,-87.92991
47.343037,-65.93011
51.186546,-78.40597
-56.181004,-36.80098
-86.29166,-75.01773
-49.22049,-31.74675
34.92125,-39.68756
-2.7018898,-18.951479
1.5884223,-25.487534
54.99235,-56.442432
-20.109163,-19.379051
30.260706,-30.31881
-37.86536,-17.879913
13.234932,-7.7279463
77.709724,-97.451385
-96.89889,-44.746735
-46.570946,-2.2811375
77.63239,-62.08514
-96.23001,-38.448906
78.68074,-62.09625
79.19675,-61.324776
-43.549015,3.4618158
86.22992,-67.75818
-88.337875,-20.714403
-75.35147,-5.158886
17.850826,10.095036
88.314514,-47.82696
22.572865,8.993886
94.19143,-85.024734
96.131615,-79.386345
4.6043286,15.659073
21.894144,14.188048
-70.25173,6.716439
-68.87944,9.503167
18.054956,18.877792
3.2883155,24.621174
13.958953,18.343687
-93.436905,-1.1785644
-74.57834,11.6484375
-75.85806,16.156498
14.670062,26.23983
22.904293,28.203682
20.878544,23.78768
59.360306,21.841555
27.26404,26.244555
65.39712,8.232725
-82.77795,25.050667
-89.34843,22.426895
64.63841,23.475073
90.74763,3.9439487
93.46893,-7.497503
-81.566986,31.086594
73.229546,15.798112
54.621796,34.592075
-95.2599,26.59745
-16.471304,51.24644
62.9099,32.465168
74.59938,27.407724
24.186817,51.357174
66.46448,32.83011
-17.605484,52.614693
-79.17834,46.203712
-13.656535,60.90882
48.45344,46.606945
93.11233,19.441238
-69.182495,56.374027
15.400511,65.50563
16.110718,68.28086
41.508945,62.68094
64.21233,58.067722
89.507706,41.8215
-97.07635,61.97138
-42.850475,77.73897
-18.481462,79.54252
-57.876545,74.419464
68.85876,59.1709
-6.4479647,83.430435
61.66608,67.801865
-53.253735,84.139626
-100.20389,82.00402
-92.03393,79.129326
38.16845,88.786415
74.67321,79.80426
39.817814,96.069786
-69.55702,99.42805
-83.63936,94.07769
-17.963804,-94.66437
