Timestamp,Epoch,Loss,LR
1775225671.3323898,0,3840.820068359375,0.0009997532801828658
1775225672.3583117,50,948.9774780273438,0.00048429462046093607
1775225673.2505424,100,593.5503540039062,2.467198171342e-07
1775225674.2461212,150,422.08282470703125,0.0005157053795390639
1775225675.1353233,200,176.34283447265625,0.0009997532801828666
1775225676.0332136,250,95.3271255493164,0.000484294620460936
1775225676.915213,300,69.58814239501953,2.467198171342e-07
1775225677.8166265,350,65.92973327636719,0.0005157053795390631
1775225678.8609195,400,65.9537124633789,0.0009997532801828645
1775225679.866439,450,33.21046447753906,0.0004842946204609347
1775225680.8174224,500,22.638856887817383,2.467198171342e-07
