Step,Actual_Next_X,Pred_Next_X,Loss
0,20.22300148010254,19.156641,1.0663604736328125
1,93.12640380859375,76.657,16.469406127929688
2,46.39878845214844,54.833355,8.434566497802734
3,36.84660720825195,53.11348,16.26687240600586
4,66.488525390625,53.74931,12.739215850830078
5,21.508970260620117,24.593388,3.0844173431396484
6,22.37057876586914,24.103588,1.7330093383789062
7,18.482913970947266,16.305065,2.1778488159179688
8,-39.077247619628906,-38.839005,0.23824310302734375
9,-68.79627227783203,-53.557724,15.238548278808594
10,-63.635005950927734,-50.071274,13.563732147216797
11,-13.61099624633789,-45.81767,32.20667266845703
12,-41.57107162475586,-45.224453,3.65338134765625
13,-60.065242767333984,-59.333443,0.7318000793457031
14,-39.15155029296875,-63.795242,24.643692016601562
15,-88.3832778930664,-73.895355,14.487922668457031
16,-95.88310241699219,-85.361565,10.521537780761719
17,-86.98968505859375,-61.67487,25.314815521240234
18,-8.786003112792969,-36.969948,28.183944702148438
19,-25.091976165771484,-11.055513,14.036462783813477
